group_id,n_rows,accepted,reason,c_value,slope,intercept,rmse_log,synthetic_rows,split
state_0.100|0.350|0.390|0.007|0.015|8.800|0.940|0.010|0.100|0.090|0.205|0.060|0.011|0.001|0.001|0.018|0.000|0.012|0.000|1313.000|1.000|1033.000|1.000|0.000|2.000,20,False,rmse_too_high,26.25,-7534.01324793613,41568.4523460766,0.5849580657149684,0,final_train
state_0.081|0.110|0.360|0.013|0.003|8.320|0.900|0.010|0.090|0.040|0.208|0.076|0.053|0.004|0.000|0.011|0.000|0.012|0.000|1313.000|1.000|1033.000|1.000|0.000|2.000,16,True,accepted,26.75,-7677.430218458621,42556.375035718454,0.23974120177816918,16,final_train
state_0.083|0.410|0.460|0.010|0.004|8.460|1.020|0.050|0.090|0.030|0.198|0.072|0.051|0.002|0.001|0.055|0.000|0.012|0.000|1313.000|1.000|1033.000|1.000|0.000|2.000,10,True,accepted,27.25,-8347.11928090424,44671.87837834152,0.20701517002265687,10,final_train
state_0.089|0.280|0.470|0.021|0.006|9.240|0.960|0.010|0.160|0.080|0.210|0.054|0.035|0.002|0.001|0.019|0.000|0.008|0.000|1313.000|1.000|1033.000|1.000|0.000|2.000,9,True,accepted,26.5,-5689.347149170385,38685.04359561545,0.09742961533698993,9,final_train
state_0.089|0.190|0.400|0.005|0.009|9.210|0.930|0.010|0.050|0.020|0.197|0.059|0.065|0.003|0.001|0.019|0.000|0.008|0.000|1313.000|1.000|1033.000|1.000|0.000|2.000,6,True,accepted,30.0,-6334.094936022742,43075.90851977922,0.16834139034037482,6,final_train
state_0.084|0.400|0.460|0.010|0.003|8.570|1.020|0.050|0.090|0.040|0.198|0.073|0.053|0.014|0.001|0.055|0.000|0.008|0.000|1313.000|1.000|1033.000|1.000|0.000|2.000,4,False,too_few_rows,,,,,0,final_train
state_0.084|0.400|0.460|0.010|0.003|8.570|1.020|0.050|0.090|0.040|0.198|0.073|0.053|0.014|0.001|0.055|0.000|0.008|0.000|1311.000|1.000|977.000|24.000|0.000|2.000,12,False,rmse_too_high,17.25,-6483.527770217435,31388.802389334647,0.41519288731120424,0,final_train
state_0.092|0.050|0.270|0.008|0.010|8.630|1.010|0.010|0.050|0.020|0.160|0.085|0.046|0.006|0.001|0.015|0.000|0.015|0.000|1311.000|1.000|1033.000|1.000|0.000|2.000,4,False,too_few_rows,,,,,0,final_train
state_0.093|0.015|0.315|0.006|0.009|9.120|1.060|0.010|0.050|0.020|0.180|0.090|0.034|0.004|0.001|0.015|0.000|0.009|0.000|1311.000|1.000|1033.000|1.000|0.000|2.000,4,False,too_few_rows,,,,,0,final_train
state_0.091|0.065|0.300|0.008|0.010|8.680|1.040|0.010|0.055|0.015|0.185|0.085|0.054|0.006|0.001|0.016|0.000|0.012|0.000|1311.000|1.000|1033.000|1.000|0.000|2.000,4,False,too_few_rows,,,,,0,final_train
state_0.086|0.030|0.295|0.006|0.008|8.430|1.090|0.010|0.500|0.020|0.175|0.050|0.056|0.004|0.000|0.015|0.000|0.012|0.000|1311.000|1.000|1033.000|1.000|0.000|2.000,5,True,accepted,30.0,-8497.084537484317,47233.026728865094,0.11464468228848938,5,final_train
